TAZ,CostIIF,CostXXF,CostIXF,CostHBW,CostHBO,CostNHB,CostREC,CostXXP,TimeDiff,TotalFreigh,TotalPass,TotalREC,TotalHBW,TotalHBO,TotalNHB,TotalItime,TotalBtime,TotalTDiff
7208,0,0,0,0,0,0,0,0,13213.04,0,0,0.1,193.24,549.24,156.54,193361743.2,193374956.2,113993239.3
7209,0,0,0,0,0,0,0,0,13213.04,0,0,0,16.88,38.47,13.7,193357023.5,193370236.5,114006452.4
7210,13.34403514,0,0,0,0,0,0,0,13213.04,118.2,0,0.1,173.93,563.96,275.8,193364564.5,193377777.6,114019665.4
7211,49.76503842,0,0,0,0,0,0,0,13213.04,288.29,0,0.02,47.8,173.59,41.53,193367371.4,193380584.5,114032878.4
7212,2324.080381,0,0,0,0,0,0,0,13213.04,13106.37,0,0,2.53,5.89,456.61,193310830.7,193324043.8,114046091.5
7213,0,0,0,0,0,0,0,0,13213.04,0,0,0,3.27,9.62,1.03,193316180.5,193329393.5,114059304.5
7214,0,0,0,0,0,0,0,0,13213.04,0,0,0,0.76,1.58,0,193328837.1,193342050.2,114072517.6
7215,0,0,0,0,0,0,0,0,13213.04,0,0,0,13.52,33.48,9.36,193330804.9,193344018,114085730.6
7216,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,8774500000,8774500000,114085730.6
7217,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,50.71,142.03,39.85,193344811.8,193358024.8,114098943.6
7218,26.42536504,0,0,0,0,0,0,0,13213.04,163.16,0,0.1,190,578.07,156.02,193345741.7,193358954.7,114112156.7
7219,12.5444545,0,0,0,0,0,0,0,13213.04,83.04,0,0,36.85,122.44,52.55,193347046.1,193360259.1,114125369.7
7220,26.42536504,0,0,0,0,0,0,0,13213.04,163.12,0,0,48.9,142.35,40.05,193349075.4,193362288.4,114138582.8
7221,0,0,0,0,0,0,0,0,13213.04,0,0,0.05,113.31,304,93.43,193350534.2,193363747.2,114151795.8
7222,26.42536504,0,0,0,0,0,0,0,13213.04,163.12,0,0.14,206.75,703.69,182.98,193353111.2,193366324.3,114165008.8
7223,0,0,0,0,0,0,0,0,13213.04,0,0,0,8.38,27.36,2.62,193366602.9,193379815.9,114178221.9
7224,0,0,0,0,0,0,0,0,13213.04,0,0,0.03,93.59,282.04,208.27,193350696.4,193363909.5,114191434.9
7225,0,0,0,0,0,0,0,0,13213.04,0,0,0.03,79.67,189.55,66.97,193349229.7,193362442.8,114204648
7226,0,0,0,0,0,0,0,0,13213.04,0,0,0,45.55,114.54,39.76,193340318.9,193353531.9,114217861
7227,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,43.08,104.16,36.38,193346417.5,193359630.6,114231074
7228,0,0,0,0,0,0,0,0,13213.04,0,0,0,51.16,127.85,36.13,193354115.9,193367329,114244287.1
7229,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,25.74,68.48,31.66,193355674,193368887,114257500.1
7230,0,0,0,0,0,0,0,0,13213.04,0,0,0,2.14,5.34,0.94,193364881,193378094.1,114270713.2
7231,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193368227.7,193381440.7,114283926.2
7232,665.8164356,0,0,0,0,0,0,0,13213.04,3737.54,0,0.02,60.56,181.18,112.83,193343445.8,193356658.8,114297139.2
7233,0,0,0,0,0,0,0,0,13213.04,0,0,0.02,34.55,91.5,22.13,193353086.2,193366299.2,114310352.3
7234,0,0,0,0,0,0,0,0,13213.04,0,0,0,18.68,49.15,53.46,193360033.3,193373246.4,114323565.3
7235,0,0,0,0,0,0,0,0,13213.04,0,0,0,14.03,33.36,12.99,193359861.7,193373074.8,114336778.4
7236,0,0,0,0,0,0,0,0,13213.04,0,0,0.01,21.83,79.68,8.86,193336100.1,193349313.1,114349991.4
7237,0,0,0,0,0,0,0,0,13213.04,0,0,0,13.53,56.35,1.53,193336100.1,193349313.1,114363204.4
7238,97.37274206,0,0,0,0,0,0,0,13213.04,328.69,0,0,0.78,1.61,1.17,193332950.5,193346163.5,114376417.5
7239,0,0,0,0,0,0,0,0,13213.04,1.54,0,0,40.61,112.51,19.49,193329603.7,193342816.7,114389630.5
7240,0,0,0,0,0,0,0,0,13213.04,1.54,0,0.09,153.45,461.89,82.29,193329174.6,193342387.7,114402843.6
7241,0,0,0,0,0,0,0,0,13213.04,0,0,0.07,111.7,436.67,48.16,193327431.6,193340644.7,114416056.6
7242,93.27547635,0,0,0,0,0,0,0,13213.04,328.67,0,0,0,0,0,193327605.9,193340819,114429269.6
7243,95.2042859,0,0,0,0,0,0,0,13213.04,328.64,0,0,3.22,6.47,0.39,193320906.5,193334119.6,114442482.7
7244,24.41174952,0,0,0,0,0,0,0,13213.04,143.26,0,0,0.92,3.88,0.13,193336172.3,193349385.4,114455695.7
7245,0,0,0,0,0,0,0,0,13213.04,0,0,0,9.81,29.33,2.17,193340119.6,193353332.6,114468908.8
7246,0,0,0,0,0,0,0,0,13213.04,0,0,0,0,0,0,193323350.2,193336563.2,114482121.8
7247,0,0,0,0,0,0,0,0,13213.04,0,0,0.06,118.83,257.77,63.15,193322566.8,193335779.8,114495334.8
7248,12.77293678,0,0,0,0,0,0,0,13213.04,87.71,0,0.02,91.57,244.4,56,193323327.7,193336540.7,114508547.9
7249,0,0,0,0,0,0,0,0,13213.04,1.54,0,0.02,63.37,165.11,47.97,193319101.9,193332314.9,114521760.9
7250,0,0,0,0,0,0,0,0,13213.04,0,0,0,6.51,13.75,62.87,193326841.9,193340054.9,114534974
7251,97.54973961,0,0,0,0,0,0,0,13213.04,328.7,0,0,5.27,12.78,0.79,193320653.3,193333866.3,114548187
7252,0,0,0,0,0,0,0,0,13213.04,0,0,0,30.52,95.41,19.05,193315100.2,193328313.2,114561400
7253,36.62792982,0,0,0,0,0,0,0,13213.04,216.16,0,0.02,69.06,166.17,31.41,193314928.6,193328141.6,114574613.1
7254,42.71257488,0,0,0,0,0,0,0,13213.04,134.55,0,0.04,55.63,190.7,41.74,193314375.3,193327588.3,114587826.1
7255,380.546838,0,0,0,0,0,0,0,13213.04,2247.26,0,0.25,426.99,1138.67,1437.72,193303021.5,193316234.5,114601039.2
7256,36.40803548,0,0,0,0,0,0,0,13213.04,215.89,0,0.15,224.58,779.63,343.77,193313478.5,193326691.5,114614252.2
7257,0,0,0,0,0,0,0,0,13213.04,0,0,0,1.36,3.01,0,193339805.9,193353019,114627465.2
7258,0,0,0,0,0,0,0,0,13213.04,0,0,0,18.06,42.59,15.33,193325776.3,193338989.4,114640678.3
7259,10.46230719,0,0,0,0,0,0,0,13213.04,98.38,0,0.02,39.49,116.25,153.63,193285166.6,193298379.6,114653891.3
7260,0,0,0,0,0,0,0,0,13213.04,0,0,0,9.87,32.69,4.19,193292105.7,193305318.7,114667104.4
7261,50.08846044,0,0,0,0,0,0,0,13213.04,288.21,0,0.15,262.37,864.67,204.84,193317420.3,193330633.3,114680317.4
