var,HBW,HBO,NHB
Households,0,1.0187,0.2077
Office Employment,0.4568,0.4032,0.2816
Other Employment,1.6827,0.4032,0.2816
Retail Employment,0.6087,3.8138,5.1186
Distance,-0.0801 ,-0.1728 ,-0.1157
Distance^2,0.0026 ,0.0034 ,0.0035
Distance^3,-0.0000090 ,-0.0000110,-0.0000133
